IBTS species,Code,Common name,ICES Statlant name,Functional group
Galeus melastomus,DBM,BLACKMOUTHED DOGFISH,,Small sharks
Gasterosteidae,,Other,,unclassified
Gasterosteus aculeatus,TSS,THREE-SPINED STICKLEBACK,,unclassified
Glyptocephalus cynoglossus,WIT,WITCH,Witch flounder,Witch
Gobiidae,GPA,GOBIES,,Small demersal fish
Gobius,,Small demersal fish,,Small demersal fish
Gobius cobitis,,Small demersal fish,,Small demersal fish
Gobius niger,BLG,BLACK GOBY,,Small demersal fish
Gymnammodytes semisquamatus,SMS,SMOOTH SANDEEL,,Sandeel
Helicolenus dactylopterus,RBM,BLUE-MOUTH REDFISH,,Large demersal fish
Hippoglossoides platessoides,PLA,AMERICAN PLAICE (LR DAB),,Long-rough dab
Hippoglossus hippoglossus,HAL,HALIBUT,Atlantic halibut,Halibut
Homarus gammarus,LBE,EUROPEAN LOBSTER,European lobster,Large crabs
Hyperoplus,,Small demersal fish,,Small demersal fish
Hyperoplus immaculatus,ISE,IMMACULATE SANDEEL,,Sandeel
Hyperoplus lanceolatus,,Small demersal fish,,Small demersal fish
Illex coindetii,,Cephalopods,,Cephalopods
Illex illecebrosus,,Cephalopods,,Cephalopods
Labrus bergylta,,Other,,unclassified
Labrus mixtus,,Other,,unclassified
Lamna nasus,,Other,,unclassified
Lampetra,,Other,,unclassified
Lampetra fluviatilis,,Other,,unclassified
Lamprididae,,Other,,unclassified
Lepadogaster,,Other,,unclassified
Lepidorhombus boscii,LBI,FOUR SPOT MEGRIM,,Megrim
Lepidorhombus whiffiagonis,MEG,MEGRIM,Megrim,Megrim
Leptagonus decagonus,,Other,,unclassified
Leptoclinus maculatus,SNB,SPOTTED SNAKE BLENNY,,Small demersal fish
Lesueurigobius,,Other,,unclassified
Lesueurigobius friesii,,Other,,unclassified
Leucoraja circularis,,Starry ray + others,,Starry ray + others
Leucoraja fullonica,,Starry ray + others,,Starry ray + others
Leucoraja lentiginosa,,Starry ray + others,,Starry ray + others
Leucoraja naevus,,Skate + Cuckoo ray,,Skate + Cuckoo ray
Limanda limanda,DAB,DAB,Common dab,Dab
Liparis,,Sea-snail,,Small demersal fish
Liparis liparis,,Sea-snail,,Small demersal fish
Liparis montagui,MSS,MONTAGUE'S SEASNAIL,,Small demersal fish
Lithodes maja,LDM,STONE CRAB,,Large crabs
Liza aurata,MGN,GOLDEN MULLET,,Small demersal fish
Liza ramada,MTN,THIN LIPPED MULLET,,Small demersal fish
Loligo forbesii,,Cephalopods,,Cephalopods
Loligo subulata,,Cephalopods,,Cephalopods
Loligo vulgaris,LLV,SQUID,Common squids nei,Cephalopods
Lophiidae,,Monkfish,,Monkfish
Lophius budegassa,WAF,WHITE-ANGLERFISH,,Monkfish
Lophius piscatorius,MON,ANGLERFISH (MONK),Angler(=Monk),Monkfish
Lumpenus lumpretaeformis,,Small demersal fish,,Small demersal fish
Lycenchelys sarsi,LCS,Small demersal fish,,Small demersal fish
Lycodes vahlii,VLP,VAHL'S EELPOUT,,Small demersal fish
Maurolicus muelleri,PLS,PEARLSIDE,,Miscellaneous filter feeding pelagic fish
Melanogrammus aeglefinus,HAD,HADDOCK,Haddock,Haddock (adult)
Merlangius merlangus,WHG,WHITING,Whiting,Whiting (adult)
Merlucciidae,,Hake,,Hake
Merluccius merluccius,HKE,EUROPEAN HAKE,European hake,Hake
Microchirus,,Small demersal fish,,Small demersal fish
Microchirus variegatus,TBS,THICKBACK SOLE,,Small demersal fish
Micromesistius poutassou,WHB,BLUE WHITING,Blue whiting(=Poutassou),Blue whiting
Microstomus kitt,LEM,LEMON SOLE,Lemon Sole,Lemon Sole
Molva dypterygia,BLI,BLUE LING,,Other gadoids (large)
Molva molva,LIN,COMMON LING,Ling,Other gadoids (large)
Mugil cephalus,MTG,GREY MULLET,Mullets nei,Small demersal fish
Mugilidae,MUL,GREY MULLETS,,Small demersal fish
Mullus barbatus,,Small demersal fish,,Small demersal fish
Mullus surmuletus,MUR,RED MULLET,Red mullet,Small demersal fish
Mustelus,,Small sharks,,Small sharks
Mustelus asterias,SDS,STARRY SMOOTH HOUND,,Small sharks
Mustelus mustelus,SMH,SMOOTH HOUND,,Small sharks
Myctophiformes,,Miscellaneous filter feeding pelagic fish,,Miscellaneous filter feeding pelagic fish
Myoxocephalus,,Small demersal fish,,Small demersal fish
Myoxocephalus quadricornis,,Small demersal fish,,Small demersal fish
Myoxocephalus scorpioides,,Small demersal fish,,Small demersal fish
Myoxocephalus scorpius,BRT,BULLROUT,,Small demersal fish
Myxine glutinosa,HGF,HAGFISH,,Small demersal fish
Nephrops norvegicus,NEP,NORWAY LOBSTER,Nephrops,Nephrops
Nerophis ophidion,,Other,,unclassified
Notolepis rissoi,,Other,,unclassified
Octopodidae,OCT,OCTOPUSES,,Cephalopods
Octopus vulgaris,,Cephalopods,Octopuses nei,Cephalopods
Osmerus eperlanus,,Smelt,,Miscellaneous filter feeding pelagic fish
Pagellus acarne,,Other,,unclassified
Pagellus erythrinus,,Other,,unclassified
Pegusa lascaris,,Other,,unclassified
Percichthyidae,,Other,,unclassified
Petromyzon,,Other,,unclassified
Petromyzon marinus,SLY,SEA LAMPREY,,Small demersal fish
Pholis gunnellus,BTF,BUTTER FISH,,Small demersal fish
Phycis blennoides,GFB,GREATER FORKBEARD,Greater forkbeard,Other gadoids (large)
Platichthys flesus,FLE,FLOUNDER (EUROPEAN),European flounder,Flounder
Pleuronectes platessa,PLE,EUROPEAN PLAICE,European plaice,Plaice
